SampleID,SubmitterSampleID,Replicate,C
18-005091-0049,TCH043,1,41.413
18-005091-0049,TCH043,2,44.992
18-005091-0049,TCH043,3,45.025
18-005091-0050,TCH044,1,36.042
18-005091-0050,TCH044,2,44.133
18-005091-0050,TCH044,3,39.809
18-005091-0051,TCH045A,1,38.439
18-005091-0051,TCH045A,2,42.792
18-005091-0051,TCH045A,3,43.848
18-005091-0052,TCH045B,1,40.148
18-005091-0052,TCH045B,2,41.726
18-005091-0052,TCH045B,3,38.356
18-005091-0053,TCH045C,1,42.085
18-005091-0053,TCH045C,2,41.695
18-005091-0053,TCH045C,3,41.545
18-005091-0054,TCH046,1,41.454
18-005091-0054,TCH046,2,41.209
18-005091-0054,TCH046,3,39.473
18-005091-0055,TCH047,1,45.226
18-005091-0055,TCH047,2,44.714
18-005091-0055,TCH047,3,44.716
18-005091-0056,TCH048A,1,39.296
18-005091-0056,TCH048A,2,44.153
18-005091-0056,TCH048A,3,40.66
18-005091-0057,TCH048B,1,41.854
18-005091-0057,TCH048B,2,44.453
18-005091-0057,TCH048B,3,45.62
18-005091-0058,TCH048C,1,40.164
18-005091-0058,TCH048C,2,40.585
18-005091-0058,TCH048C,3,38.844
18-005091-0059,TCH049,1,46.071
18-005091-0059,TCH049,2,44.135
18-005091-0059,TCH049,3,47.602
18-005091-0060,TCH050,1,45.362
18-005091-0060,TCH050,2,37.93
18-005091-0060,TCH050,3,42.267
